Year,Trading Country,International Merchandise Trade,Value
2012,,Exports,3581
2012,,Imports,31426
2012,,Balance,-27845
2013,,Exports,3380
2013,,Imports,33815
2013,,Balance,-30435
2014,,Exports,5525
2014,,Imports,34653
2014,,Balance,-29128
2015,,Exports,4091
2015,,Imports,43604
2015,,Balance,-39513
2016,,Exports,3551
2016,,Imports,47934
2016,,Balance,-44383
2017,,Exports,5523
2017,,Imports,39788
2017,,Balance,-34265
2018,,Exports,4933
2018,,Imports,41069
2018,,Balance,-36136
2019,,Exports,4755
2019,,Imports,39195
2019,,Balance,-34440
2020,,Exports,4255
2020,,Imports,32651
2020,,Balance,-28396
2012,Australia,Exports,936
2012,Australia,Imports,8774
2012,Australia,Balance,-7838
2013,Australia,Exports,941
2013,Australia,Imports,8423
2013,Australia,Balance,-7482
2014,Australia,Exports,1431
2014,Australia,Imports,9305
2014,Australia,Balance,-7874
2015,Australia,Exports,1145
2015,Australia,Imports,9506
2015,Australia,Balance,-8361
2016,Australia,Exports,948
2016,Australia,Imports,9852
2016,Australia,Balance,-8904
2017,Australia,Exports,602
2017,Australia,Imports,8707
2017,Australia,Balance,-8105
2018,Australia,Exports,1195
2018,Australia,Imports,9638
2018,Australia,Balance,-8443
2019,Australia,Exports,1052
2019,Australia,Imports,8239
2019,Australia,Balance,-7186
2020,Australia,Exports,520
2020,Australia,Imports,6969
2020,Australia,Balance,-6449
2012,China,Exports,6
2012,China,Imports,2169
2012,China,Balance,-2163
2013,China,Exports,154
2013,China,Imports,2480
2013,China,Balance,-2326
2014,China,Exports,138
2014,China,Imports,2677
2014,China,Balance,-2539
2015,China,Exports,444
2015,China,Imports,5257
2015,China,Balance,-4813
2016,China,Exports,94
2016,China,Imports,5750
2016,China,Balance,-5656
2017,China,Exports,378
2017,China,Imports,5645
2017,China,Balance,-5267
2018,China,Exports,293
2018,China,Imports,4305
2018,China,Balance,-4012
2019,China,Exports,541
2019,China,Imports,4619
2019,China,Balance,-4079
2020,China,Exports,933
2020,China,Imports,4194
2020,China,Balance,-3261
2012,Fiji,Exports,238
2012,Fiji,Imports,2094
2012,Fiji,Balance,-1856
2013,Fiji,Exports,419
2013,Fiji,Imports,2794
2013,Fiji,Balance,-2375
2014,Fiji,Exports,191
2014,Fiji,Imports,2800
2014,Fiji,Balance,-2609
2015,Fiji,Exports,249
2015,Fiji,Imports,3760
2015,Fiji,Balance,-3511
2016,Fiji,Exports,216
2016,Fiji,Imports,4736
2016,Fiji,Balance,-4520
2017,Fiji,Exports,341
2017,Fiji,Imports,4092
2017,Fiji,Balance,-3751
2018,Fiji,Exports,815
2018,Fiji,Imports,3528
2018,Fiji,Balance,-2713
2019,Fiji,Exports,1098
2019,Fiji,Imports,3639
2019,Fiji,Balance,-2541
2020,Fiji,Exports,825
2020,Fiji,Imports,3609
2020,Fiji,Balance,-2784
2012,France,Exports,9
2012,France,Imports,782
2012,France,Balance,-773
2013,France,Exports,20
2013,France,Imports,1255
2013,France,Balance,-1235
2014,France,Exports,34
2014,France,Imports,1206
2014,France,Balance,-1172
2015,France,Exports,2
2015,France,Imports,980
2015,France,Balance,-978
2016,France,Exports,2
2016,France,Imports,2130
2016,France,Balance,-2128
2017,France,Exports,3
2017,France,Imports,1028
2017,France,Balance,-1025
2018,France,Exports,30
2018,France,Imports,950
2018,France,Balance,-920
2019,France,Exports,127
2019,France,Imports,835
2019,France,Balance,-709
2020,France,Exports,4
2020,France,Imports,767
2020,France,Balance,-763
2012,Hong Kong,Exports,217
2012,Hong Kong,Imports,486
2012,Hong Kong,Balance,-269
2013,Hong Kong,Exports,332
2013,Hong Kong,Imports,562
2013,Hong Kong,Balance,-230
2014,Hong Kong,Exports,585
2014,Hong Kong,Imports,660
2014,Hong Kong,Balance,-75
2015,Hong Kong,Exports,203
2015,Hong Kong,Imports,965
2015,Hong Kong,Balance,-762
2016,Hong Kong,Exports,192
2016,Hong Kong,Imports,1105
2016,Hong Kong,Balance,-914
2017,Hong Kong,Exports,84
2017,Hong Kong,Imports,1313
2017,Hong Kong,Balance,-1229
2018,Hong Kong,Exports,83
2018,Hong Kong,Imports,1137
2018,Hong Kong,Balance,-1054
2019,Hong Kong,Exports,19
2019,Hong Kong,Imports,993
2019,Hong Kong,Balance,-974
2020,Hong Kong,Exports,49
2020,Hong Kong,Imports,964
2020,Hong Kong,Balance,-914
2012,India,Exports,0
2012,India,Imports,329
2012,India,Balance,-329
2013,India,Exports,0
2013,India,Imports,256
2013,India,Balance,-256
2014,India,Exports,1
2014,India,Imports,217
2014,India,Balance,-216
2015,India,Exports,0
2015,India,Imports,323
2015,India,Balance,-323
2016,India,Exports,0
2016,India,Imports,249
2016,India,Balance,-249
2017,India,Exports,0
2017,India,Imports,302
2017,India,Balance,-302
2018,India,Exports,0
2018,India,Imports,315
2018,India,Balance,-315
2019,India,Exports,28
2019,India,Imports,327
2019,India,Balance,-299
2020,India,Exports,0
2020,India,Imports,264
2020,India,Balance,-264
2012,Indonesia,Exports,23
2012,Indonesia,Imports,345
2012,Indonesia,Balance,-322
2013,Indonesia,Exports,10
2013,Indonesia,Imports,376
2013,Indonesia,Balance,-366
2014,Indonesia,Exports,21
2014,Indonesia,Imports,426
2014,Indonesia,Balance,-405
2015,Indonesia,Exports,0
2015,Indonesia,Imports,382
2015,Indonesia,Balance,-382
2016,Indonesia,Exports,0
2016,Indonesia,Imports,427
2016,Indonesia,Balance,-427
2017,Indonesia,Exports,4
2017,Indonesia,Imports,501
2017,Indonesia,Balance,-497
2018,Indonesia,Exports,15
2018,Indonesia,Imports,467
2018,Indonesia,Balance,-452
2019,Indonesia,Exports,7
2019,Indonesia,Imports,616
2019,Indonesia,Balance,-609
2020,Indonesia,Exports,19
2020,Indonesia,Imports,510
2020,Indonesia,Balance,-492
2012,Japan,Exports,226
2012,Japan,Imports,911
2012,Japan,Balance,-685
2013,Japan,Exports,215
2013,Japan,Imports,1337
2013,Japan,Balance,-1122
2014,Japan,Exports,233
2014,Japan,Imports,1040
2014,Japan,Balance,-807
2015,Japan,Exports,209
2015,Japan,Imports,2141
2015,Japan,Balance,-1932
2016,Japan,Exports,106
2016,Japan,Imports,2921
2016,Japan,Balance,-2815
2017,Japan,Exports,147
2017,Japan,Imports,2058
2017,Japan,Balance,-1911
2018,Japan,Exports,145
2018,Japan,Imports,2867
2018,Japan,Balance,-2722
2019,Japan,Exports,41
2019,Japan,Imports,2385
2019,Japan,Balance,-2344
2020,Japan,Exports,49
2020,Japan,Imports,1506
2020,Japan,Balance,-1457
2012,Republic of Korea,Exports,19
2012,Republic of Korea,Imports,486
2012,Republic of Korea,Balance,-467
2013,Republic of Korea,Exports,9
2013,Republic of Korea,Imports,721
2013,Republic of Korea,Balance,-712
2014,Republic of Korea,Exports,24
2014,Republic of Korea,Imports,612
2014,Republic of Korea,Balance,-588
2015,Republic of Korea,Exports,5
2015,Republic of Korea,Imports,712
2015,Republic of Korea,Balance,-707
2016,Republic of Korea,Exports,2
2016,Republic of Korea,Imports,933
2016,Republic of Korea,Balance,-931
