Year,National,Province,Constituency,Area Council,Sex,Age,Value
2016,Vanuatu,Malampa,,,Male,,20689
2016,Vanuatu,Penama,,,Male,,16549
2016,Vanuatu,Sanma,,,Male,,27901
2016,Vanuatu,Shefa,,,Male,,49541
2016,Vanuatu,Tafea,,,Male,,18432
2016,Vanuatu,Torba,,,Male,,5153
2016,Vanuatu,Penama,Ambae,,Male,,5993
2016,Vanuatu,Malampa,Ambrym,,Male,,3818
2016,Vanuatu,Torba,Banks,,Male,,4648
2016,Vanuatu,Shefa,Efate,,Male,,18088
2016,Vanuatu,Shefa,Epi,,Male,,3314
2016,Vanuatu,Sanma,Luganville,,Male,,8344
2016,Vanuatu,Penama,Maewo,,Male,,1876
2016,Vanuatu,Malampa,Malekula,,Male,,16004
2016,Vanuatu,Sanma,Malo,,Male,,2256
2016,Vanuatu,Malampa,Paama,,Male,,867
2016,Vanuatu,Penama,Pentecost,,Male,,8680
2016,Vanuatu,Shefa,Port Vila,,Male,,26162
2016,Vanuatu,Sanma,Santo Rural,,Male,,17301
2016,Vanuatu,Shefa,Shepherds,,Male,,623
2016,Vanuatu,Tafea,Tafea Outer Islands,,Male,,2336
2016,Vanuatu,Tafea,Tanna,,Male,,16096
2016,Vanuatu,Shefa,Tongoa,,Male,,1354
2016,Vanuatu,Torba,Torres,,Male,,505
2016,Vanuatu,Tafea,Tafea Outer Islands,Aneityum,Male,,745
2016,Vanuatu,Tafea,Tafea Outer Islands,Aniwa,Male,,200
2016,Vanuatu,Sanma,Santo Rural,Canal Fanafo,Male,,2618
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,,3125
2016,Vanuatu,Penama,Pentecost,Central Pentecost 1,Male,,1357
2016,Vanuatu,Penama,Pentecost,Central Pentecost 2,Male,,1892
2016,Vanuatu,Penama,Ambae,East Ambae,Male,,1227
2016,Vanuatu,Sanma,Malo,East Malo,Male,,1048
2016,Vanuatu,Sanma,Santo Rural,East Santo,Male,,2382
2016,Vanuatu,Shefa,Efate,Emau,Male,,344
2016,Vanuatu,Shefa,Efate,Erakor,Male,,4491
2016,Vanuatu,Shefa,Efate,Eratap,Male,,3456
2016,Vanuatu,Shefa,Efate,Eton,Male,,1830
2016,Vanuatu,Tafea,Tafea Outer Islands,Futuna,Male,,336
2016,Vanuatu,Torba,Banks,Gaua,Male,,1324
2016,Vanuatu,Shefa,Efate,Ifira,Male,,582
2016,Vanuatu,Sanma,Luganville,Luganville,Male,,8344
2016,Vanuatu,Shefa,Shepherds,Makimae,Male,,623
2016,Vanuatu,Shefa,Efate,Malorua,Male,,1528
2016,Vanuatu,Shefa,Efate,Mele,Male,,2349
2016,Vanuatu,Torba,Banks,Merelava,Male,,279
2016,Vanuatu,Tafea,Tanna,Middle Bush Tanna,Male,,3001
2016,Vanuatu,Torba,Banks,Mota,Male,,362
2016,Vanuatu,Torba,Banks,Motalava,Male,,810
2016,Vanuatu,Shefa,Efate,Nguna,Male,,864
2016,Vanuatu,Penama,Ambae,North Ambae,Male,,1944
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,,1529
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,,3614
2016,Vanuatu,Shefa,Efate,North Efate,Male,,1483
2016,Vanuatu,Tafea,Tafea Outer Islands,North Erromango,Male,,756
2016,Vanuatu,Penama,Maewo,North Maewo,Male,,1216
2016,Vanuatu,Penama,Pentecost,North Pentecost,Male,,3079
2016,Vanuatu,Sanma,Santo Rural,North Santo,Male,,2472
2016,Vanuatu,Tafea,Tanna,North Tanna,Male,,2046
2016,Vanuatu,Shefa,Tongoa,North Tongoa,Male,,835
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,,2816
2016,Vanuatu,Sanma,Santo Rural,North West Santo,Male,,844
2016,Vanuatu,Malampa,Paama,Paama,Male,,867
2016,Vanuatu,Shefa,Efate,Pango,Male,,1161
2016,Vanuatu,Shefa,Port Vila,Port Vila,Male,,26162
2016,Vanuatu,Penama,Ambae,South Ambae,Male,,783
2016,Vanuatu,Malampa,Ambrym,South East Ambrym,Male,,794
2016,Vanuatu,Malampa,Malekula,South East Malekula,Male,,2657
2016,Vanuatu,Sanma,Santo Rural,South East Santo,Male,,3086
2016,Vanuatu,Shefa,Epi,South Epi,Male,,761
2016,Vanuatu,Tafea,Tafea Outer Islands,South Erromango,Male,,299
2016,Vanuatu,Penama,Maewo,South Maewo,Male,,660
2016,Vanuatu,Malampa,Malekula,South Malekula,Male,,1934
2016,Vanuatu,Penama,Pentecost,South Pentecost,Male,,2352
2016,Vanuatu,Sanma,Santo Rural,South Santo,Male,,4363
2016,Vanuatu,Tafea,Tanna,South Tanna,Male,,670
2016,Vanuatu,Malampa,Malekula,South West Malekula,Male,,1858
2016,Vanuatu,Tafea,Tanna,South West Tanna,Male,,2763
2016,Vanuatu,Shefa,Tongoa,Tongariki,Male,,519
2016,Vanuatu,Torba,Torres,Torres,Male,,505
2016,Vanuatu,Torba,Banks,Ureparapara,Male,,239
2016,Vanuatu,Torba,Banks,Vanua Lava,Male,,1634
2016,Vanuatu,Shefa,Epi,Varisu,Male,,816
2016,Vanuatu,Shefa,Epi,Vermali,Male,,1012
2016,Vanuatu,Shefa,Epi,Vermaul,Male,,725
2016,Vanuatu,Penama,Ambae,West Ambae,Male,,2039
2016,Vanuatu,Malampa,Ambrym,West Ambrym,Male,,1495
2016,Vanuatu,Sanma,Malo,West Malo,Male,,1208
2016,Vanuatu,Sanma,Santo Rural,West Santo,Male,,1536
2016,Vanuatu,Tafea,Tanna,West Tanna,Male,,4255
2016,Vanuatu,Tafea,Tanna,Whitesands,Male,,3361
2016,Vanuatu,,,,Female,,134194
2016,Vanuatu,Malampa,,,Female,,20239
2016,Vanuatu,Penama,,,Female,,15985
2016,Vanuatu,Sanma,,,Female,,26283
2016,Vanuatu,Shefa,,,Female,,48061
2016,Vanuatu,Tafea,,,Female,,18618
2016,Vanuatu,Torba,,,Female,,5008
2016,Vanuatu,Penama,Ambae,,Female,,5677
2016,Vanuatu,Malampa,Ambrym,,Female,,3834
2016,Vanuatu,Torba,Banks,,Female,,4491
2016,Vanuatu,Shefa,Efate,,Female,,17587
2016,Vanuatu,Shefa,Epi,,Female,,3294
2016,Vanuatu,Sanma,Luganville,,Female,,7968
2016,Vanuatu,Penama,Maewo,,Female,,1787
2016,Vanuatu,Malampa,Malekula,,Female,,15552
2016,Vanuatu,Sanma,Malo,,Female,,2109
2016,Vanuatu,Malampa,Paama,,Female,,853
2016,Vanuatu,Penama,Pentecost,,Female,,8521
2016,Vanuatu,Shefa,Port Vila,,Female,,25275
2016,Vanuatu,Sanma,Santo Rural,,Female,,16206
2016,Vanuatu,Shefa,Shepherds,,Female,,584
2016,Vanuatu,Tafea,Tafea Outer Islands,,Female,,2287
2016,Vanuatu,Tafea,Tanna,,Female,,16331
2016,Vanuatu,Shefa,Tongoa,,Female,,1321
2016,Vanuatu,Torba,Torres,,Female,,517
2016,Vanuatu,Tafea,Tafea Outer Islands,Aneityum,Female,,688
2016,Vanuatu,Tafea,Tafea Outer Islands,Aniwa,Female,,220
2016,Vanuatu,Sanma,Santo Rural,Canal Fanafo,Female,,2298
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,,3141
2016,Vanuatu,Penama,Pentecost,Central Pentecost 1,Female,,1290
2016,Vanuatu,Penama,Pentecost,Central Pentecost 2,Female,,1970
2016,Vanuatu,Penama,Ambae,East Ambae,Female,,1019
2016,Vanuatu,Sanma,Malo,East Malo,Female,,964
2016,Vanuatu,Sanma,Santo Rural,East Santo,Female,,2303
2016,Vanuatu,Shefa,Efate,Emau,Female,,341
2016,Vanuatu,Shefa,Efate,Erakor,Female,,4427
2016,Vanuatu,Shefa,Efate,Eratap,Female,,3184
2016,Vanuatu,Shefa,Efate,Eton,Female,,1688
2016,Vanuatu,Tafea,Tafea Outer Islands,Futuna,Female,,325
2016,Vanuatu,Torba,Banks,Gaua,Female,,1252
2016,Vanuatu,Shefa,Efate,Ifira,Female,,604
2016,Vanuatu,Sanma,Luganville,Luganville,Female,,7968
2016,Vanuatu,Shefa,Shepherds,Makimae,Female,,584
2016,Vanuatu,Shefa,Efate,Malorua,Female,,1388
2016,Vanuatu,Shefa,Efate,Mele,Female,,2389
2016,Vanuatu,Torba,Banks,Merelava,Female,,309
2016,Vanuatu,Tafea,Tanna,Middle Bush Tanna,Female,,3006
2016,Vanuatu,Torba,Banks,Mota,Female,,320
2016,Vanuatu,Torba,Banks,Motalava,Female,,868
2016,Vanuatu,Shefa,Efate,Nguna,Female,,864
2016,Vanuatu,Penama,Ambae,North Ambae,Female,,1979
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,,1627
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,,3548
2016,Vanuatu,Shefa,Efate,North Efate,Female,,1504
2016,Vanuatu,Tafea,Tafea Outer Islands,North Erromango,Female,,735
2016,Vanuatu,Penama,Maewo,North Maewo,Female,,1146
2016,Vanuatu,Penama,Pentecost,North Pentecost,Female,,2844
2016,Vanuatu,Sanma,Santo Rural,North Santo,Female,,2275
2016,Vanuatu,Tafea,Tanna,North Tanna,Female,,2140
2016,Vanuatu,Shefa,Tongoa,North Tongoa,Female,,853
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,,2699
2016,Vanuatu,Sanma,Santo Rural,North West Santo,Female,,853
2016,Vanuatu,Malampa,Paama,Paama,Female,,853
2016,Vanuatu,Shefa,Efate,Pango,Female,,1198
2016,Vanuatu,Shefa,Port Vila,Port Vila,Female,,25275
2016,Vanuatu,Penama,Ambae,South Ambae,Female,,734
2016,Vanuatu,Malampa,Ambrym,South East Ambrym,Female,,758
2016,Vanuatu,Malampa,Malekula,South East Malekula,Female,,2483
2016,Vanuatu,Sanma,Santo Rural,South East Santo,Female,,2870
2016,Vanuatu,Shefa,Epi,South Epi,Female,,688
2016,Vanuatu,Tafea,Tafea Outer Islands,South Erromango,Female,,319
2016,Vanuatu,Penama,Maewo,South Maewo,Female,,641
2016,Vanuatu,Malampa,Malekula,South Malekula,Female,,1973
2016,Vanuatu,Penama,Pentecost,South Pentecost,Female,,2417
2016,Vanuatu,Sanma,Santo Rural,South Santo,Female,,4071
2016,Vanuatu,Tafea,Tanna,South Tanna,Female,,662
2016,Vanuatu,Malampa,Malekula,South West Malekula,Female,,1708
2016,Vanuatu,Tafea,Tanna,South West Tanna,Female,,2830
2016,Vanuatu,Shefa,Tongoa,Tongariki,Female,,468
2016,Vanuatu,Torba,Torres,Torres,Female,,517
2016,Vanuatu,Torba,Banks,Ureparapara,Female,,217
2016,Vanuatu,Torba,Banks,Vanua Lava,Female,,1525
2016,Vanuatu,Shefa,Epi,Varisu,Female,,802
2016,Vanuatu,Shefa,Epi,Vermali,Female,,1068
2016,Vanuatu,Shefa,Epi,Vermaul,Female,,736
2016,Vanuatu,Penama,Ambae,West Ambae,Female,,1945
2016,Vanuatu,Malampa,Ambrym,West Ambrym,Female,,1449
2016,Vanuatu,Sanma,Malo,West Malo,Female,,1145
2016,Vanuatu,Sanma,Santo Rural,West Santo,Female,,1536
2016,Vanuatu,Tafea,Tanna,West Tanna,Female,,4312
2016,Vanuatu,Tafea,Tanna,Whitesands,Female,,3381
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,0-4,494
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,5-9,418
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,10-14,319
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,15-19,285
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,20-24,219
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,25-29,236
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,30-34,202
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,35-39,204
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,40-44,175
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,45-49,157
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,50-54,108
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,55-59,84
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,60-64,68
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,65-69,52
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,70-74,40
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,75-79,26
2016,Vanuatu,Malampa,Malekula,Central Malekula,Male,80+,38
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,0-4,464
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,5-9,419
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,10-14,322
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,15-19,271
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,20-24,250
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,25-29,269
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,30-34,229
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,35-39,216
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,40-44,172
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,45-49,127
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,50-54,118
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,55-59,93
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,60-64,64
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,65-69,50
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,70-74,28
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,75-79,15
2016,Vanuatu,Malampa,Malekula,Central Malekula,Female,80+,34
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,0-4,213
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,5-9,214
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,10-14,204
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,15-19,178
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,20-24,102
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,25-29,89
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,30-34,80
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,35-39,72
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,40-44,72
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,45-49,59
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,50-54,58
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,55-59,41
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,60-64,46
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,65-69,22
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,70-74,21
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,75-79,26
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Male,80+,32
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,0-4,205
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,5-9,211
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,10-14,183
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,15-19,179
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,20-24,113
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,25-29,137
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,30-34,107
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,35-39,94
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,40-44,72
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,45-49,64
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,50-54,62
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,55-59,45
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,60-64,47
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,65-69,36
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,70-74,19
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,75-79,15
2016,Vanuatu,Malampa,Ambrym,North Ambrym,Female,80+,38
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,0-4,536
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,5-9,552
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,10-14,417
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,15-19,259
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,20-24,193
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,25-29,222
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,30-34,243
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,35-39,223
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,40-44,159
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,45-49,165
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,50-54,136
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,55-59,119
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,60-64,93
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,65-69,91
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,70-74,53
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,75-79,51
2016,Vanuatu,Malampa,Malekula,North East Malekula,Male,80+,102
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,0-4,480
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,5-9,576
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,10-14,373
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,15-19,237
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,20-24,247
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,25-29,263
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,30-34,269
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,35-39,223
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,40-44,163
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,45-49,140
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,50-54,149
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,55-59,123
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,60-64,92
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,65-69,50
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,70-74,37
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,75-79,43
2016,Vanuatu,Malampa,Malekula,North East Malekula,Female,80+,83
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,0-4,448
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,5-9,493
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,10-14,372
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,15-19,265
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,20-24,149
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,25-29,187
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,30-34,179
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,35-39,171
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,40-44,97
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,45-49,104
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,50-54,64
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,55-59,55
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,60-64,52
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,65-69,54
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,70-74,60
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,75-79,27
2016,Vanuatu,Malampa,Malekula,North West Malekula,Male,80+,39
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,0-4,435
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,5-9,425
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,10-14,317
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,15-19,224
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,20-24,182
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,25-29,237
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,30-34,201
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,35-39,151
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,40-44,123
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,45-49,107
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,50-54,65
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,55-59,48
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,60-64,34
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,65-69,45
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,70-74,34
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,75-79,25
2016,Vanuatu,Malampa,Malekula,North West Malekula,Female,80+,46
2016,Vanuatu,Malampa,Paama,Paama,Male,0-4,99
2016,Vanuatu,Malampa,Paama,Paama,Male,5-9,115
2016,Vanuatu,Malampa,Paama,Paama,Male,10-14,119
2016,Vanuatu,Malampa,Paama,Paama,Male,15-19,104
2016,Vanuatu,Malampa,Paama,Paama,Male,20-24,49
2016,Vanuatu,Malampa,Paama,Paama,Male,25-29,47
2016,Vanuatu,Malampa,Paama,Paama,Male,30-34,33
2016,Vanuatu,Malampa,Paama,Paama,Male,35-39,43
2016,Vanuatu,Malampa,Paama,Paama,Male,40-44,42
2016,Vanuatu,Malampa,Paama,Paama,Male,45-49,37
2016,Vanuatu,Malampa,Paama,Paama,Male,50-54,34
2016,Vanuatu,Malampa,Paama,Paama,Male,55-59,25
2016,Vanuatu,Malampa,Paama,Paama,Male,60-64,32
2016,Vanuatu,Malampa,Paama,Paama,Male,65-69,20
2016,Vanuatu,Malampa,Paama,Paama,Male,70-74,26
2016,Vanuatu,Malampa,Paama,Paama,Male,75-79,19
2016,Vanuatu,Malampa,Paama,Paama,Male,80+,23
2016,Vanuatu,Malampa,Paama,Paama,Female,0-4,101
2016,Vanuatu,Malampa,Paama,Paama,Female,5-9,94
2016,Vanuatu,Malampa,Paama,Paama,Female,10-14,115
2016,Vanuatu,Malampa,Paama,Paama,Female,15-19,87
