Year,National,Province,Constituency,Area Council,Sex,Age,Value
2016,Vanuatu,,,,,,272459
2016,Vanuatu,Malampa,,,,,40928
2016,Vanuatu,Penama,,,,,32534
2016,Vanuatu,Sanma,,,,,54184
2016,Vanuatu,Shefa,,,,,97602
2016,Vanuatu,Tafea,,,,,37050
2016,Vanuatu,Torba,,,,,10161
2016,Vanuatu,Penama,Ambae,,,,11670
2016,Vanuatu,Malampa,Ambrym,,,,7652
2016,Vanuatu,Torba,Banks,,,,9139
2016,Vanuatu,Shefa,Efate,,,,35675
2016,Vanuatu,Shefa,Epi,,,,6608
2016,Vanuatu,Sanma,Luganville,,,,16312
2016,Vanuatu,Penama,Maewo,,,,3663
2016,Vanuatu,Malampa,Malekula,,,,31556
2016,Vanuatu,Sanma,Malo,,,,4365
2016,Vanuatu,Malampa,Paama,,,,1720
2016,Vanuatu,Penama,Pentecost,,,,17201
2016,Vanuatu,Shefa,Port Vila,,,,51437
2016,Vanuatu,Sanma,Santo Rural,,,,33507
2016,Vanuatu,Shefa,Shepherds,,,,1207
2016,Vanuatu,Tafea,Tafea Outer Islands,,,,4623
2016,Vanuatu,Tafea,Tanna,,,,32427
2016,Vanuatu,Shefa,Tongoa,,,,2675
2016,Vanuatu,Torba,Torres,,,,1022
2016,Vanuatu,Tafea,Tafea Outer Islands,Aneityum,,,1433
2016,Vanuatu,Tafea,Tafea Outer Islands,Aniwa,,,420
2016,Vanuatu,Sanma,Santo Rural,Canal Fanafo,,,4916
2016,Vanuatu,Malampa,Malekula,Central Malekula,,,6266
2016,Vanuatu,Penama,Pentecost,Central Pentecost 1,,,2647
2016,Vanuatu,Penama,Pentecost,Central Pentecost 2,,,3862
2016,Vanuatu,Penama,Ambae,East Ambae,,,2246
2016,Vanuatu,Sanma,Malo,East Malo,,,2012
2016,Vanuatu,Sanma,Santo Rural,East Santo,,,4685
2016,Vanuatu,Shefa,Efate,Emau,,,685
2016,Vanuatu,Shefa,Efate,Erakor,,,8918
2016,Vanuatu,Shefa,Efate,Eratap,,,6640
2016,Vanuatu,Shefa,Efate,Eton,,,3518
2016,Vanuatu,Tafea,Tafea Outer Islands,Futuna,,,661
2016,Vanuatu,Torba,Banks,Gaua,,,2576
2016,Vanuatu,Shefa,Efate,Ifira,,,1186
2016,Vanuatu,Sanma,Luganville,Luganville,,,16312
2016,Vanuatu,Shefa,Shepherds,Makimae,,,1207
2016,Vanuatu,Shefa,Efate,Malorua,,,2916
2016,Vanuatu,Shefa,Efate,Mele,,,4738
2016,Vanuatu,Torba,Banks,Merelava,,,588
2016,Vanuatu,Tafea,Tanna,Middle Bush Tanna,,,6007
2016,Vanuatu,Torba,Banks,Mota,,,682
2016,Vanuatu,Torba,Banks,Motalava,,,1678
2016,Vanuatu,Shefa,Efate,Nguna,,,1728
2016,Vanuatu,Penama,Ambae,North Ambae,,,3923
2016,Vanuatu,Malampa,Ambrym,North Ambrym,,,3156
2016,Vanuatu,Malampa,Malekula,North East Malekula,,,7162
2016,Vanuatu,Shefa,Efate,North Efate,,,2987
2016,Vanuatu,Tafea,Tafea Outer Islands,North Erromango,,,1491
2016,Vanuatu,Penama,Maewo,North Maewo,,,2362
2016,Vanuatu,Penama,Pentecost,North Pentecost,,,5923
2016,Vanuatu,Sanma,Santo Rural,North Santo,,,4747
2016,Vanuatu,Tafea,Tanna,North Tanna,,,4186
2016,Vanuatu,Shefa,Tongoa,North Tongoa,,,1688
2016,Vanuatu,Malampa,Malekula,North West Malekula,,,5515
2016,Vanuatu,Sanma,Santo Rural,North West Santo,,,1697
2016,Vanuatu,Malampa,Paama,Paama,,,1720
2016,Vanuatu,Shefa,Efate,Pango,,,2359
2016,Vanuatu,Shefa,Port Vila,Port Vila,,,51437
2016,Vanuatu,Penama,Ambae,South Ambae,,,1517
2016,Vanuatu,Malampa,Ambrym,South East Ambrym,,,1552
2016,Vanuatu,Malampa,Malekula,South East Malekula,,,5140
2016,Vanuatu,Sanma,Santo Rural,South East Santo,,,5956
2016,Vanuatu,Shefa,Epi,South Epi,,,1449
2016,Vanuatu,Tafea,Tafea Outer Islands,South Erromango,,,618
2016,Vanuatu,Penama,Maewo,South Maewo,,,1301
2016,Vanuatu,Malampa,Malekula,South Malekula,,,3907
2016,Vanuatu,Penama,Pentecost,South Pentecost,,,4769
2016,Vanuatu,Sanma,Santo Rural,South Santo,,,8434
2016,Vanuatu,Tafea,Tanna,South Tanna,,,1332
2016,Vanuatu,Malampa,Malekula,South West Malekula,,,3566
2016,Vanuatu,Tafea,Tanna,South West Tanna,,,5593
2016,Vanuatu,Shefa,Tongoa,Tongariki,,,987
2016,Vanuatu,Torba,Torres,Torres,,,1022
2016,Vanuatu,Torba,Banks,Ureparapara,,,456
2016,Vanuatu,Torba,Banks,Vanua Lava,,,3159
2016,Vanuatu,Shefa,Epi,Varisu,,,1618
2016,Vanuatu,Shefa,Epi,Vermali,,,2080
2016,Vanuatu,Shefa,Epi,Vermaul,,,1461
2016,Vanuatu,Penama,Ambae,West Ambae,,,3984
2016,Vanuatu,Malampa,Ambrym,West Ambrym,,,2944
2016,Vanuatu,Sanma,Malo,West Malo,,,2353
2016,Vanuatu,Sanma,Santo Rural,West Santo,,,3072
2016,Vanuatu,Tafea,Tanna,West Tanna,,,8567
2016,Vanuatu,Tafea,Tanna,Whitesands,,,6742
2016,Vanuatu,,,,Male,,138265
